trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
2656,-3.8642578125,-5.8505859375,-1.8837890625,0.25830078125,0.0,1095.80384862,10019000
2657,-4.7216796875,-5.1298828125,-1.8837890625,0.25830078125,0.0,21.2163878094,2926000
2658,-4.7216796875,-5.8505859375,-1.6904296875,0.25830078125,0.0,155.099217676,10189000
2659,-4.7216796875,-5.8505859375,-1.8837890625,-0.25439453125,0.0,159.06458756,10357000
2660,-4.7216796875,-5.8505859375,-1.8837890625,0.25830078125,0.0,159.06458756,10357000
2661,-3.3642578125,-6.6298828125,-2.1904296875,1.99560546875,0.0,18893.5958393,47339000
2662,-4.2216796875,-6.6298828125,-2.1904296875,1.99560546875,100.0,2791.97888011,110670000
2663,-3.3642578125,-5.3505859375,-2.1904296875,1.99560546875,200.0,795.039134706,9498000
2664,-3.3642578125,-6.6298828125,-2.3837890625,1.99560546875,0.0,20232.4217599,51026000
2665,-3.3642578125,-6.6298828125,-2.1904296875,-0.49169921875,0.0,18893.5958393,47339000
2666,-3.3642578125,-5.3505859375,-2.3837890625,-0.49169921875,0.0,796.59932044,7486000
2667,-4.2216796875,-6.6298828125,-2.3837890625,-0.49169921875,0.0,2903.10818013,52393000
2668,-4.2216796875,-5.3505859375,-2.1904296875,-0.49169921875,0.0,107.677763561,7043000
2669,-4.2216796875,-5.3505859375,-2.3837890625,1.99560546875,800.0,108.470143191,8552000
2670,-4.2216796875,-5.3505859375,-2.3837890625,-0.49169921875,0.0,108.470143191,6415000
2671,-4.3642578125,-5.6298828125,-1.1904296875,0.49560546875,0.0,178.93229209400002,6146000
2672,-3.2216796875,-5.6298828125,-1.1904296875,0.49560546875,0.0,2347.04680734,5897000
2673,-4.3642578125,-6.3505859375,-1.1904296875,0.49560546875,0.0,812.6126346780001,21345000
2674,-4.3642578125,-5.6298828125,-1.3837890625,0.49560546875,0.0,192.469694744,6442000
2675,-4.3642578125,-5.6298828125,-1.1904296875,1.00830078125,0.0,178.93229209400002,6146000
2676,-4.3642578125,-6.3505859375,-1.3837890625,1.00830078125,0.0,901.643753733,23393000
2677,-3.2216796875,-5.6298828125,-1.3837890625,1.00830078125,0.0,2434.55789402,6036000
2678,-3.2216796875,-6.3505859375,-1.1904296875,1.00830078125,0.0,11084.3056335,21231000
2679,-3.2216796875,-6.3505859375,-1.3837890625,0.49560546875,0.0,12203.533547799998,22924000
2680,-3.2216796875,-6.3505859375,-1.3837890625,1.00830078125,0.0,12203.533547799998,22924000
2681,-4.1142578125,-6.8798828125,-1.9404296875,0.12060546875,0.0,3904.68731776,50948000
2682,-3.4716796875,-6.8798828125,-1.9404296875,0.12060546875,0.0,17139.7937604,50949000
2683,-4.1142578125,-6.6005859375,-1.9404296875,0.12060546875,0.0,3262.63395003,46488000
2684,-4.1142578125,-6.8798828125,-2.1337890625,0.12060546875,0.0,3904.36941469,50948000
2685,-4.1142578125,-6.8798828125,-1.9404296875,-0.86669921875,0.0,3904.68731776,50948000
2686,-4.1142578125,-6.6005859375,-2.1337890625,-0.86669921875,0.0,3304.70603546,46650000
2687,-3.4716796875,-6.8798828125,-2.1337890625,-0.86669921875,0.0,17145.8142119,50949000
2688,-3.4716796875,-6.6005859375,-1.9404296875,-0.86669921875,0.0,13539.338766600002,44306000
2689,-3.4716796875,-6.6005859375,-2.1337890625,0.12060546875,0.0,13833.903165600002,44563000
2690,-3.4716796875,-6.6005859375,-2.1337890625,-0.86669921875,0.0,13833.903165600002,44563000
2691,-3.1142578125,-5.8798828125,-2.9404296875,1.62060546875,0.0,7042.32672564,11175000
2692,-4.4716796875,-5.8798828125,-2.9404296875,1.62060546875,0.0,323.060914711,11604000
2693,-3.1142578125,-5.6005859375,-2.9404296875,1.62060546875,0.0,3421.39764304,6404000
2694,-3.1142578125,-5.8798828125,-1.1337890625,1.62060546875,0.0,5521.97759686,9198000
2695,-3.1142578125,-5.8798828125,-2.9404296875,0.63330078125,0.0,7042.32672564,11175000
2696,-3.1142578125,-5.6005859375,-1.1337890625,0.63330078125,0.0,2738.00338271,5568000
2697,-4.4716796875,-5.8798828125,-1.1337890625,0.63330078125,0.0,247.142162456,9343000
2698,-4.4716796875,-5.6005859375,-2.9404296875,0.63330078125,0.0,113.29468533100001,10945000
2699,-4.4716796875,-5.6005859375,-1.1337890625,1.62060546875,1200.0,94.449397638,13194000
2700,-4.4716796875,-5.6005859375,-1.1337890625,0.63330078125,0.0,94.449397638,10997000
2701,-3.6142578125,-6.3798828125,-1.4404296875,-0.62939453125,0.0,5494.17603914,25440000
2702,-4.9716796875,-6.3798828125,-1.4404296875,-0.62939453125,0.0,247.62551798,25738000
2703,-3.6142578125,-5.1005859375,-1.4404296875,-0.62939453125,0.0,249.617924222,5418000
2704,-3.6142578125,-6.3798828125,-2.6337890625,-0.62939453125,0.0,7047.01214879,31603000
2705,-3.6142578125,-6.3798828125,-1.4404296875,1.38330078125,0.0,5494.17603914,25440000
2706,-3.6142578125,-5.1005859375,-2.6337890625,1.38330078125,300.0,255.52133925599998,8830000
2707,-4.9716796875,-6.3798828125,-2.6337890625,1.38330078125,100.0,330.706358352,49921000
2708,-4.9716796875,-5.1005859375,-1.4404296875,1.38330078125,3900.0,10.842386273299999,4947000
2709,-4.9716796875,-5.1005859375,-2.6337890625,-0.62939453125,0.0,11.434924573800002,2893000
2710,-4.9716796875,-5.1005859375,-2.6337890625,1.38330078125,3400.0,11.434924573800002,4927000
2711,-4.6142578125,-5.3798828125,-2.4404296875,0.87060546875,100.0,48.048973763599996,12237000
2712,-3.9716796875,-5.3798828125,-2.4404296875,0.87060546875,0.0,208.90354344,6657000
2713,-4.6142578125,-6.1005859375,-2.4404296875,0.87060546875,0.0,388.015674584,18058000
2714,-4.6142578125,-5.3798828125,-1.6337890625,0.87060546875,1000.0,44.614694479200004,26494000
2715,-4.6142578125,-5.3798828125,-2.4404296875,-0.11669921875,0.0,48.048973763599996,12213000
2716,-4.6142578125,-6.1005859375,-1.6337890625,-0.11669921875,0.0,336.64089778,16031000
2717,-3.9716796875,-5.3798828125,-1.6337890625,-0.11669921875,0.0,201.63559932299998,7677000
2718,-3.9716796875,-6.1005859375,-2.4404296875,-0.11669921875,0.0,1712.71497606,18180000
2719,-3.9716796875,-6.1005859375,-1.6337890625,0.87060546875,0.0,1409.08260912,15334000
2720,-3.9716796875,-6.1005859375,-1.6337890625,-0.11669921875,0.0,1409.08260912,15334000
2721,-4.7392578125,-6.5048828125,-1.3154296875,1.43310546875,0.0,493.911830875,32303000
2722,-4.5966796875,-6.5048828125,-1.3154296875,1.43310546875,0.0,677.963925453,32045000
2723,-4.7392578125,-6.4755859375,-1.3154296875,1.43310546875,400.0,468.564058086,54084000
2724,-4.7392578125,-6.5048828125,-2.0087890625,1.43310546875,0.0,635.4232293,39871000
2725,-4.7392578125,-6.5048828125,-1.3154296875,-0.67919921875,0.0,493.911830875,30314000
2726,-4.7392578125,-6.4755859375,-2.0087890625,-0.67919921875,0.0,602.571655671,36035000
2727,-4.5966796875,-6.5048828125,-2.0087890625,-0.67919921875,0.0,874.6478063310001,37513000
2728,-4.5966796875,-6.4755859375,-1.3154296875,-0.67919921875,0.0,646.6522147740001,28522000
2729,-4.5966796875,-6.4755859375,-2.0087890625,1.43310546875,0.0,825.137969833,37424000
2730,-4.5966796875,-6.4755859375,-2.0087890625,-0.67919921875,0.0,825.137969833,35489000
2731,-3.7392578125,-5.5048828125,-2.3154296875,-0.06689453125,0.0,476.351189116,8306000
2732,-3.5966796875,-5.5048828125,-2.3154296875,-0.06689453125,0.0,657.949663782,9490000
2733,-3.7392578125,-5.4755859375,-2.3154296875,-0.06689453125,0.0,447.46007308,12739000
2734,-3.7392578125,-5.5048828125,-1.0087890625,-0.06689453125,0.0,411.861542454,8760000
2735,-3.7392578125,-5.5048828125,-2.3154296875,0.82080078125,0.0,476.351189116,8306000
2736,-3.7392578125,-5.4755859375,-1.0087890625,0.82080078125,0.0,452.207063623,4434000
