trial_id,U_exp,K_exp,D_exp,base_level_fall
65,-3.810546875,-6.556640625,-2.212890625,1.3232421875
66,-3.810546875,-6.935546875,-2.658203125,1.3232421875
67,-3.189453125,-6.556640625,-2.658203125,1.3232421875
68,-3.189453125,-6.935546875,-2.212890625,1.3232421875
69,-3.189453125,-6.935546875,-2.658203125,-0.8447265625
70,-3.189453125,-6.935546875,-2.658203125,1.3232421875
71,-4.810546875,-5.556640625,-1.212890625,0.6552734375
72,-4.189453125,-5.556640625,-1.212890625,0.6552734375
73,-4.810546875,-5.935546875,-1.212890625,0.6552734375
74,-4.810546875,-5.556640625,-1.658203125,0.6552734375
75,-4.810546875,-5.556640625,-1.212890625,-0.1767578125
76,-4.810546875,-5.935546875,-1.658203125,-0.1767578125
77,-4.189453125,-5.556640625,-1.658203125,-0.1767578125
78,-4.189453125,-5.935546875,-1.212890625,-0.1767578125
79,-4.189453125,-5.935546875,-1.658203125,0.6552734375
80,-4.189453125,-5.935546875,-1.658203125,-0.1767578125
81,-4.873046875,-6.619140625,-2.900390625,0.3740234375
82,-3.751953125,-6.619140625,-2.900390625,0.3740234375
83,-4.873046875,-6.498046875,-2.900390625,0.3740234375
84,-4.873046875,-6.619140625,-1.095703125,0.3740234375
85,-4.873046875,-6.619140625,-2.900390625,1.4169921875
86,-4.873046875,-6.498046875,-1.095703125,1.4169921875
87,-3.751953125,-6.619140625,-1.095703125,1.4169921875
88,-3.751953125,-6.498046875,-2.900390625,1.4169921875
89,-3.751953125,-6.498046875,-1.095703125,0.3740234375
90,-3.751953125,-6.498046875,-1.095703125,1.4169921875
91,-3.873046875,-5.619140625,-1.900390625,1.8740234375
92,-4.751953125,-5.619140625,-1.900390625,1.8740234375
93,-3.873046875,-5.498046875,-1.900390625,1.8740234375
94,-3.873046875,-5.619140625,-2.095703125,1.8740234375
95,-3.873046875,-5.619140625,-1.900390625,-0.0830078125
96,-3.873046875,-5.498046875,-2.095703125,-0.0830078125
97,-4.751953125,-5.619140625,-2.095703125,-0.0830078125
98,-4.751953125,-5.498046875,-1.900390625,-0.0830078125
99,-4.751953125,-5.498046875,-2.095703125,1.8740234375
100,-4.751953125,-5.498046875,-2.095703125,-0.0830078125
101,-3.373046875,-6.119140625,-2.400390625,-0.3759765625
102,-4.251953125,-6.119140625,-2.400390625,-0.3759765625
103,-3.373046875,-5.998046875,-2.400390625,-0.3759765625
104,-3.373046875,-6.119140625,-1.595703125,-0.3759765625
105,-3.373046875,-6.119140625,-2.400390625,-0.8330078125
106,-3.373046875,-5.998046875,-1.595703125,-0.8330078125
107,-4.251953125,-6.119140625,-1.595703125,-0.8330078125
108,-4.251953125,-5.998046875,-2.400390625,-0.8330078125
109,-4.251953125,-5.998046875,-1.595703125,-0.3759765625
110,-4.251953125,-5.998046875,-1.595703125,-0.8330078125
111,-4.373046875,-5.119140625,-1.400390625,1.1240234375
112,-3.251953125,-5.119140625,-1.400390625,1.1240234375
113,-4.373046875,-6.998046875,-1.400390625,1.1240234375
114,-4.373046875,-5.119140625,-2.595703125,1.1240234375
115,-4.373046875,-5.119140625,-1.400390625,0.6669921875
116,-4.373046875,-6.998046875,-2.595703125,0.6669921875
117,-3.251953125,-5.119140625,-2.595703125,0.6669921875
118,-3.251953125,-6.998046875,-1.400390625,0.6669921875
119,-3.251953125,-6.998046875,-2.595703125,1.1240234375
120,-3.251953125,-6.998046875,-2.595703125,0.6669921875
121,-4.123046875,-6.369140625,-1.650390625,0.7490234375
122,-3.001953125,-6.369140625,-1.650390625,0.7490234375
123,-4.123046875,-6.248046875,-1.650390625,0.7490234375
124,-4.123046875,-6.369140625,-1.845703125,0.7490234375
125,-4.123046875,-6.369140625,-1.650390625,-0.4580078125
126,-4.123046875,-6.248046875,-1.845703125,-0.4580078125
127,-3.001953125,-6.369140625,-1.845703125,-0.4580078125
128,-3.001953125,-6.248046875,-1.650390625,-0.4580078125
